model,attack_language,n,mean_token_inflation,mean_tokens_per_char,truncation_risk_rate
llamantino_anita_8b,swa,309,1.2445769130609965,0.45787836331008336,0.0
llamantino_anita_8b,swe,310,1.01837137126559,0.39991896453008063,0.0
llamantino_anita_8b,ukr,303,1.0656009208926547,0.4073568304364026,0.0
sabia_3,ara,309,,,0.0
sabia_3,bul,311,,,0.0
sabia_3,dan,310,,,0.0
sabia_3,eng,313,,,0.0
sabia_3,fin,293,,,0.0
sabia_3,ita,313,,,0.0
sabia_3,nor,311,,,0.0
sabia_3,por,312,,,0.0
sabia_3,rus,312,,,0.0
sabia_3,spa,313,,,0.0
sabia_3,swa,309,,,0.0
sabia_3,swe,310,,,0.0
sabia_3,ukr,303,,,0.0
sagui_7b,ara,309,1.9173677606734023,1.14465699552981,0.0
sagui_7b,bul,311,1.1819010488542627,0.5756915709460886,0.0
sagui_7b,dan,312,1.0821715277234378,0.5228911910414425,0.0
sagui_7b,eng,313,0.7949927652436928,0.4120990854202728,0.0
sagui_7b,fin,293,1.1887720114297937,0.5966288853141026,0.0
sagui_7b,ita,313,0.9975367424044106,0.4574280583740647,0.0
sagui_7b,nor,311,1.0748647691819915,0.5264128536812388,0.0
sagui_7b,por,312,1.0,0.47332261075526727,0.0
sagui_7b,rus,312,1.1013054017215156,0.5207881803529403,0.0
sagui_7b,spa,313,1.0060932695978675,0.45852760463062275,0.0
sagui_7b,swa,309,1.2433453870616096,0.5832357937607368,0.0
sagui_7b,swe,310,1.0307846398960214,0.5179897359064306,0.0
sagui_7b,ukr,303,1.1568634791934789,0.5629578214118139,0.0
