start_time,end_time,start_time_iso,end_time_iso,num_model_requests,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1778033580,1778033640,2026-05-06T02:13:00+00:00,2026-05-06T02:14:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,11713.0,2905.0,0.0,11713.0,11713.0,2905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033640,1778033700,2026-05-06T02:14:00+00:00,2026-05-06T02:15:00+00:00,17.0,gpt-5.4-2026-03-05,False,incentivized-tier,11783.0,2989.0,0.0,11783.0,11783.0,2989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033700,1778033760,2026-05-06T02:15:00+00:00,2026-05-06T02:16:00+00:00,15.0,gpt-5.4-2026-03-05,False,incentivized-tier,10975.0,2761.0,0.0,10975.0,10975.0,2761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033760,1778033820,2026-05-06T02:16:00+00:00,2026-05-06T02:17:00+00:00,15.0,gpt-5.4-2026-03-05,False,incentivized-tier,10719.0,2839.0,0.0,10719.0,10719.0,2839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033820,1778033880,2026-05-06T02:17:00+00:00,2026-05-06T02:18:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,12336.0,2996.0,0.0,12336.0,12336.0,2996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033880,1778033940,2026-05-06T02:18:00+00:00,2026-05-06T02:19:00+00:00,17.0,gpt-5.4-2026-03-05,False,incentivized-tier,14393.0,3110.0,0.0,14393.0,14393.0,3110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778033940,1778034000,2026-05-06T02:19:00+00:00,2026-05-06T02:20:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,11969.0,2884.0,0.0,11969.0,11969.0,2884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034000,1778034060,2026-05-06T02:20:00+00:00,2026-05-06T02:21:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,12989.0,3046.0,0.0,12989.0,12989.0,3046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034060,1778034120,2026-05-06T02:21:00+00:00,2026-05-06T02:22:00+00:00,16.0,gpt-5.4-2026-03-05,False,incentivized-tier,11696.0,2873.0,0.0,11696.0,11696.0,2873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778034120,1778034180,2026-05-06T02:22:00+00:00,2026-05-06T02:23:00+00:00,18.0,gpt-5.4-2026-03-05,False,incentivized-tier,13668.0,3319.0,0.0,13668.0,13668.0,3319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
